season	episode	title	arc_name	quote	desc	url	stream
.	.	The Clone Wars Movie (first 26 min)	Jedi Missions	.	While Anakin and Obi-Wan continue to fight on the frontlines in the Battle of Christophsis, the Jedi Council receives an urgent message requesting their help in the kidnapping of Jabba the Hutt's son, Rotta. With communication cut off, the council's new orders are delivered by a spunky surprise visitor -- a new Padawan for Anakin, Ahsoka Tano.	https://www.starwars.com/news/the-clone-wars-rewatch-theatrical-1-of-3	https://www.disneyplus.com/play/24a03eff-e68a-4743-828d-32ba9ffc0c7f
1	2	Rising Malevolence	Jedi Missions	Belief is not a matter of choice, but of conviction.	An attack by a devastating new Separatist weapon -- the powerful starship Malevolence -- leaves Jedi Master Plo Koon and his clone troopers struggling to survive until Anakin and Ahsoka can find them.	https://www.starwars.com/tv-shows/clone-wars/rising-malevolence-episode-guide	https://www.disneyplus.com/video/5bb0c4dc-91f1-434b-974f-1716511ecd4e?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep02_BuyWatchCTA-NA
1	13	Jedi Crash	Jedi Missions	Greed and fear of loss are the roots that lead to the tree of evil.	Anakin and Ahsoka arrive at a pitched sky battle to help besieged Jedi General Aayla Secura. Anakin is gravely injured in the fight. Aayla and Ahsoka, along with the now-wounded Anakin, Rex, and the surviving clones, crash land on the uncharted grass-covered planet, Maridun. Forced to leave Anakin behind in order to save him, Aayla teaches Ahsoka why the Jedi have no personal attachments. They make their way to a Lurmen village. Their ruler, Tee Watt Kaa, explains that they're pacifists in this war and are not aligned with either side. Hesitant to have anything to do with the Jedi, Tee Watt Kaa agrees to help save Anakin's life.	https://www.starwars.com/series/clone-wars/jedi-crash-episode-guide	https://www.disneyplus.com/video/28c0b907-8efe-4400-af50-c13c66e18468?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep13_BuyWatchCTA-NA
1	9	Cloak of Darkness	Jedi Missions	Ignore your instincts at your peril.	Ahsoka and Jedi Master Luminara escort the captured notorious Separatist leader Nute Gunray to Coruscant so he can stand trial for his crimes. However, they are unaware that Count Dooku has sent his assassin, Asajj Ventress, to free their captive. With the help of Senate Commandos, the Jedi have to thwart Ventress's efforts to free their prisoner, despite the traitorous plans of Senate Guard Captain Argyus.	https://www.starwars.com/tv-shows/clone-wars/cloak-of-darkness-episode-guide	https://www.disneyplus.com/video/96574cf0-9dd5-48f4-9625-545a13cff7db?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep09_BuyWatchCTA-NA
1	10	Lair of Grievous	Jedi Missions	Most powerful is he who controls his own power.	Jedi Master Kit Fisto and his former Padawan, the Mon Calamari Jedi Nahdar Vebb, track escaped prisoner Nute Gunray to a remote world. Following Nute into a mysterious den filled with strange creatures, weapons, and war-time artifacts, the Jedi discover it is the trap-laden lair of General Grievous! Learning that Count Dooku has led the Jedi there in order to punish Grievous for his recent failures, the General is determined to prove his abilities and destroy the Jedi. Kit and Nahdar, along with a contingent of clones, must now fight their way past Grievous and his caretaker droid A-4D to avoid being caught in General's evil clutches forever.	https://www.starwars.com/tv-shows/clone-wars/lair-of-grievous-episode-guide	https://www.disneyplus.com/video/3755d2fb-2904-47a2-9315-fd4969401c30?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep10_BuyWatchCTA-NA
1	1	Ambush	Jedi Missions	Great leaders inspire greatness in others.	Jedi Master Yoda and three clone troopers -- Jek, Thire, and Rys -- must face off against Count Dooku's dreaded assassin Ventress and her massive droid army to prove the Jedi are strong enough to protect a strategic planet and forge a treaty for the Republic.	https://www.starwars.com/series/clone-wars/ambush-episode-guide	https://www.disneyplus.com/video/0bf87f10-d9a1-44ca-8371-f38543eb3706?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep01_BuyWatchCTA-NA
1	19	Storm Over Ryloth	Battle of Ryloth	It is a rough road that leads to the heights of greatness.	Ryloth, home world of the Twi'lek people, has been subjected to military occupation by the droid army of the Separatists, and surrounded by a blockade of Trade Federation battleships. While launching a surprise attack against the blockade, Ahsoka disobeys Anakin's orders and ends up losing most of her squadron. Even though she's emotionally rocked by this failure, Anakin helps her learn to persevere, placing her in charge of another risky attack.	https://www.starwars.com/tv-shows/clone-wars/storm-over-ryloth-episode-guide	https://www.disneyplus.com/video/76710ca6-5a5f-4fbd-8bc3-2a62beba88cf?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep19_BuyWatchCTA-NA
1	20	Innocents of Ryloth	Battle of Ryloth	The costs of war can never be truly accounted for.	With the space blockade around Ryloth destroyed, Obi-Wan Kenobi must lead a small clone force into a droid occupied town to sabotage their anti-aircraft guns. Obi-Wan's mission is complicated when he learns the town's inhabitants are being used as living shields. A pair of clones in his platoon forges an unlikely friendship with a refugee Twi'lek girl, Numa, who's been orphaned by the war. Through their relationship with her, the clones begin to understand the real cost of the war...	https://www.starwars.com/tv-shows/clone-wars/innocents-of-ryloth-episode-guide	https://www.disneyplus.com/video/d4f5abd5-3e71-4cef-9928-6be9527fdb89?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep20_BuyWatchCTA-NA
1	21	Liberty on Ryloth	Battle of Ryloth	Compromise is a virtue to be cultivated, not a weakness to be despised.	The battle for the Twi'lek homeworld of Ryloth rages as the Republic attempts to drive off the occupying droid army led by Separatist Leader, Wat Tambor. With his forces stretched thin, Mace Windu must convince Twi'lek freedom fighter, Cham Syndulla, to help him save the capital city from the droids' destruction. Initially, the Twi'lek hero is hesitant to aid Mace, but ultimately realizes the Jedi can be trusted and joins with him to liberate the city -- and ultimately the planet -- in the climactic battle.	https://www.starwars.com/tv-shows/clone-wars/liberty-on-ryloth-episode-guide	https://www.disneyplus.com/video/0f87705e-7773-4154-8ff8-fdee5671431d?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep21_BuyWatchCTA-NA
2	4	Senate Spy	Return to Geonosis	A true heart should never be doubted.	The Jedi Council suspects that Senator Rush Clovis, an InterGalactic Banking Clan delegate and former colleague of Padmé Amidala, may be working for the Separatists. Against Anakin's wishes, the Council asks Padmé if she would accompany Rush to Cato Neimoidia to uncover any clues regarding the Senator's true allegiances. Padmé agrees, feeling that her past relationship with the Senator -- which for a time had been romantic until she ended it -- might give her an advantage in the investigation. Fending off Anakin's jealousy, as well as an attempt on her life by Neimoidian Lott Dod, Padmé successfully reveals Clovis to be conspiring with the Separatists to build a military droid factory on Geonosis.	https://www.starwars.com/tv-shows/clone-wars/senate-spy-episode-guide	https://www.disneyplus.com/video/094ea69a-1e8f-44cd-9ebb-1551993b5129?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep04_BuyWatchCTA-NA
